,Restaurant,Inspection Date,Inspection Score,Street Address,Zip,Lat,Long,G.Lat,G.Long
1680,FAIRMONT HOTEL (MAIN KITCHEN),02/08/2019,100,2651 COMMERCE ST #120,75201,32.786229999999996,-96.801857,32.7831622,-96.784247
1684,FAIRMONT HOTEL (STARBUCKS),02/08/2019,100,2656 MAIN ST #130,75201,32.786229999999996,-96.801857,32.783601,-96.784247
1732,FIESTA #57 PRODUCE,02/22/2019,100,7777 FOREST LN,75227,32.758559999999996,-96.682885,32.9113881,-96.77344629999999
1778,FLAGSHIP #2022 SUITES DESSERT PANTRY,02/19/2019,100,5050 CROZIER ST,75201,32.790079999999996,-96.811316,32.7863301,-96.79625279999999
1779,FLAGSHIP #2031 FLAGSHIP LIQUOR ROOM,02/19/2019,100,5057 SINGLETON BLVD,75201,32.790079999999996,-96.811316,32.7788557,-96.90604569999999
1780,FLAGSHIP #2053 SUITES FOH PANTRY,02/19/2019,100,506 S FITZHUGH AVE #100,75201,32.790079999999996,-96.811316,32.7925133,-96.7602074
1781,FLAGSHIP #2070,02/19/2019,100,508 N GILPIN AVE,75201,32.790079999999996,-96.811316,32.7489794,-96.8802587
1898,GATEWAY NEWSTAND,01/30/2019,100,3237 W NORTHWEST HWY #102,75207,33.207339000000005,-97.158218,32.8562641,-96.8658746
1903,GC DELIVERY,01/29/2019,100,333 W JEFFERSON BLVD,75215,32.771676,-96.782161,32.74339,-96.826994
1917,GEXA ENERGY PAVILION BLDG #R4,01/19/2019,100,2934 MAIN ST,75210,41.804943,-89.69680100000001,32.7842359,-96.7806451
1920,GILL ELEMENTARY,11/18/2019,100,11823 PLANO RD,75228,32.844961,-96.661627,32.9105075,-96.70093829999999
1947,GOLD'S GYM UPTOWN,11/19/2019,100,4800 DOLPHIN RD,75201,32.795057,-96.802128,32.781243,-96.7372958
1972,GOLDEN CORRAL,04/15/2019,100,9371 GARLAND RD #100,75234,32.909595,-96.868702,32.8329103,-96.70410489999999
1985,GOOD SHEPERD EPISCOPAL SCHOOL,09/26/2019,100,1219 CENTERVILLE RD,75229,39.982592,-88.870053,32.8436553,-96.68875969999999
2019,GREEN BIOTICS,02/20/2019,100,2005 S BUCKNER BLVD,75240,32.930161,-96.820963,32.7466062,-96.6832556
2040,GROUP USA INC @ EL CENTRO VENDING MACHINE,10/24/2019,100,2201 N LAMAR ST,75211,32.766943,-96.78706700000001,32.7845663,-96.8085179
2041,GROUP USA INC @ EL CENTRO VENDING MACHINE,09/26/2019,100,2201 N STEMMONS FRWY,75211,32.766943,-96.78706700000001,32.7997871,-96.82957309999999
2042,GUCHENHEIMER GRAB AND GO,10/17/2019,100,1805 SYLVAN AVE #A,75243,32.919456,-96.751347,32.7680373,-96.8364014
2064,HAMILTON PARK UNITED METH,02/14/2019,100,1515 GRAND AVE,75243,32.910289,-96.762976,38.428987,-105.212076
2090,HARLOWE MXM (LEFT),02/14/2019,100,6959 ARAPAHO RD #115,75226,39.075657,-94.585014,32.962882,-96.7889715
2093,HARLOWE MXM (ROOF),02/14/2019,100,700 E EIGHTH ST,75226,39.075657,-94.585014,32.7504859,-96.8139413
2094,HARMONY ELEMENTARY CAFETERIA,10/17/2019,100,15250 PRESTONWOOD BLVD,75243,32.911532,-96.70429200000001,32.9601496,-96.813413
2096,HARMONY MIDDLE SCHOOL CAFETERIA,10/17/2019,100,1530 MAIN ST,75243,32.91042,-96.702505,32.7807089,-96.7984434
2098,HARMONY SCIENCE ACADEMY,10/17/2019,100,15757 COIT RD,75243,0.0,0.0,32.9629105,-96.7701745
2099,HARMONY SCIENCE ACADEMY,04/10/2019,100,15765 HILLCREST RD,75243,0.0,0.0,32.9636762,-96.78643869999999
2153,HIGH & TIGHT,02/27/2019,100,602 SINGLETON BLVD,75226,37.34053,-95.27479699999999,32.7783887,-96.83330520000001
2166,HILTON GARDEN INN (RESTAURANT),12/19/2019,100,4319 MAIN ST,75235,32.802201000000004,-96.831956,32.7908442,-96.7685513
2172,HISSHO SUSHI @ THE LANDING CAFE,12/04/2019,100,6025 ROYAL LN STE 104,75235,32.8458,-96.864399,32.896345,-96.8034721
2187,HOMEWOOD SUITES KITCHEN STORE,01/31/2019,100,10560 WALNUT ST #600,75202,42.561445,-114.457831,32.7774686,-96.8042882
2188,HOMEWOOD SUITES SWEET SHOP,12/17/2019,100,642 W DAVIS ST,75207,32.809629,-96.847374,32.7491931,-96.8331583
2211,HOTEL ZAZA DRAGONFLY,12/19/2019,100,4345 W CAMP WISDOM RD,75201,32.794078999999996,-96.801631,32.6623378,-96.8905223
2217,HOTEL ZAZA POOL BAR,12/19/2019,100,4353 GANNON LN #101,75201,32.794078999999996,-96.801631,32.656754,-96.8894117
2223,HOUSE OF BLUES - FOUNDATION BAR,11/23/2019,100,3802 CEDAR SPRINGS RD,75202,32.785059000000004,-96.80857900000001,32.8100945,-96.80868439999999
2245,HYATT REGENCY BANQUET KITCHEN,12/21/2019,100,7859 WALNUT HILL LN #160,75202,0.0,0.0,32.881085,-96.7733252
2247,HYATT REGENCY EMPLOYEES KITCHEN,12/21/2019,100,7859 WALNUT HILL LN #180,75202,0.0,0.0,32.881085,-96.7733252
2249,HYATT REGENCY MONDUEL'S,12/21/2019,100,7865 FIREFALL WAY #100,75202,0.0,0.0,32.8821527,-96.7711593
2251,HYATT REGENCY PARRINO'S OVEN,12/21/2019,100,7865 FIREFALL WAY #F180,75202,0.0,0.0,32.8821527,-96.7711593
2252,HYATT REGENCY PARRINO'S OVEN,04/25/2019,100,7877 FRANKFORD RD #101B,75202,0.0,0.0,32.9980919,-96.7688477
2280,IN-N-OUT BURGER,12/26/2019,100,5400 E MOCKINGBIRD LN #123,75235,32.828606,-96.843818,32.8358672,-96.77504019999999
2281,IN-N-OUT BURGER,06/24/2019,100,5403 ARAPAHO RD,75235,32.828606,-96.843818,32.9605541,-96.81834099999999
2282,IN-N-OUT BURGER #266,09/25/2019,100,1825 ABRAMS RD #B,75244,32.92416,-96.83831500000001,32.8119502,-96.75328789999999
2283,IN-N-OUT BURGER #266,03/14/2019,100,18253 MARSH LN,75244,32.92416,-96.83831500000001,32.99807699999999,-96.8561867
2285,IN-N-OUT BURGER #268,01/23/2019,100,244 W DAVIS ST,75248,32.957151,-96.821205,32.7492819,-96.82626590000001
2367,JACK IN THE BOX #794,08/07/2019,100,3401 ST FRANCIS AVE,75217,32.747327,-96.68296,32.7992126,-96.6930945
2375,JACK'S PLACE,08/19/2019,100,501 ELM ST #100,75219,32.790079999999996,-96.811316,32.7799682,-96.8075101
2376,JACK'S PLACE,02/14/2019,100,501 S EDGEFIELD AVE,75219,32.790079999999996,-96.811316,32.7403344,-96.84464779999999
2377,JACK'S PLACE,01/31/2019,100,5011 MILITARY PKWY #A,75219,32.790079999999996,-96.811316,32.7840042,-96.73041649999999
2388,JAKES HAMBURGERS,01/29/2019,100,1050 N WESTMORELAND RD #328,75218,32.840866999999996,-96.693366,32.7556486,-96.8717697
2391,JAMES BOWIE ELEM SCHOOL - KITCHEN,04/24/2019,100,920 S HARWOOD ST #305,75203,32.752297,-96.815652,32.77747,-96.7900856
2401,JASON'S DELI,07/25/2019,100,2218 GREENVILLE AVE,75202,41.022387,-81.430239,32.8166552,-96.7693826
2424,JESUIT PREP SCHOOL,09/30/2019,100,17811 WATERVIEW PKWY,75234,32.916589,-96.818469,32.9911398,-96.75813989999999
2426,JESUIT PREP SCHOOL STADIUM CONCESS,09/30/2019,100,17840 DALLAS PKWY,75234,32.916589,-96.818469,32.9932659,-96.82852609999999
2446,JOHN NEELY BRYAN ELEM SCHOOL,11/11/2019,100,3305 DILIDO RD,75216,32.753168,-97.141039,32.8063285,-96.6896684
2448,JOHN RUNYON ELEMENTARY,09/25/2019,100,11445 EMERALD ST #109,75217,32.741346,-96.64075600000001,32.8972073,-96.9000341
2451,JOHN W CARPENTER SCH,06/03/2019,100,3700 IRVING BLVD,75224,32.694702,-96.852915,32.8077264,-96.88026579999999
2464,JOULE HOTE LOBBY/ BAR,10/04/2019,100,2445 S BUCKNER BLVD #190,75201,41.034257000000004,-76.423878,32.754176,-96.6833182
2465,JOULE HOTEL - POOL BAR,10/04/2019,100,2445 W NORTHWEST HWY #101,75201,41.034257000000004,-76.423878,32.8610563,-96.88159619999999
2468,JOULE MAIN BAR A,10/04/2019,100,2445 W NORTHWEST HWY #107,75201,41.034257000000004,-76.423878,32.8610563,-96.88159619999999
2496,KATY TRAIL ICE HOUSE - DISH AREA,04/23/2019,100,8550 PLANO RD #101,75201,32.801096,-96.80717299999999,32.8653009,-96.6999888
2503,KESSLER PARK BISTRO,12/23/2019,100,5319 E MOCKINGBIRD LN 210,75211,32.756702000000004,-96.860489,32.8384272,-96.77637849999999
2537,KIPP OAK CLIFF,11/21/2019,100,8707 E RL THORNTON FRWY,75216,32.708127000000005,-96.801621,32.796483,-96.6932616
2578,KOOKIE HAVEN,01/22/2019,100,9595 SCYENE RD,75208,41.673083,-86.185637,32.763581,-96.6572178
2624,LA BARE II,01/26/2019,100,3600 MCKINNEY AVE #100,75220,32.86625,-96.90548000000001,32.8070117,-96.79734769999999
2653,LA HAWAIANA,02/14/2019,100,2555 INWOOD RD #143,75217,32.740645,-96.682968,32.8223726,-96.8360285
2706,LAKE HIGHLANDS JR HIGH,11/22/2019,100,10707 MILLER RD,75238,32.879072,-96.707047,32.8948845,-96.69980079999999
2714,LAKEWOOD ELEM SCHOOL,12/04/2019,100,7939 WALNUT HILL LN #A,75214,32.825753999999996,-96.744364,32.8805703,-96.77228079999999
2715,LAKEWOOD ELEM SCHOOL,05/28/2019,100,7940 FOREST LN,75214,32.825753999999996,-96.744364,32.9088335,-96.7703492
2750,LAUREL LOUNGE,01/15/2019,100,3200 S LANCASTER RD #742A,75206,37.532289,-77.47156899999999,32.709473,-96.8008977
2760,LE MERIDIEN DALLAS BY THE GALLERIA (CAFETERIA),07/16/2019,100,2025 S BECKLEY AVE,75240,32.931117,-96.817978,32.7224775,-96.82310419999999
2767,LEE HARVEY'S/PATIO BAR,11/18/2019,100,2828 W NORTHWEST HWY,75215,32.768122999999996,-96.789363,32.8574116,-96.8735421
2782,LEONARDO'S TEX-MEX & AMERICAN FOOD,11/25/2019,100,2127 FORT WORTH AVE,75253,32.674071999999995,-96.598613,32.7620637,-96.857731
2783,LEONARDO'S TEX-MEX & AMERICAN FOOD,11/25/2019,100,2129 ABRAMS RD,75253,32.674071999999995,-96.598613,32.8159511,-96.753163
2786,LEVEL TWO,10/24/2019,100,1804 FORT WORTH AVE,75207,32.789582,-96.816348,32.7645655,-96.8486305
2799,LIFECARE CAFE,12/18/2019,100,3240 SAMUELL BLVD,75235,32.817559,-96.848901,32.7928011,-96.7388362
2814,LIQUID LOUNGE SUITE A,01/11/2019,100,6464 W NORTHWEST HWY 510,75226,33.57326,-83.89569300000001,32.8759436,-96.9357339
2839,LONE STAR CARE AT LAKEWEST,02/26/2019,100,9807 WALNUT HILL LN,75212,32.782421,-96.865695,32.8796277,-96.71737429999999
2850,LORENZO HOTEL (12TH FLOOR),04/11/2019,100,1025 ELM ST #850,75215,32.772799,-96.795108,32.7810329,-96.8027675
2906,LUNA MART DELI,02/15/2019,100,600 N PEARL EXPW #G103,75220,32.85841,-96.877338,32.7865684,-96.79509259999999
2921,M. TACUBAYA,09/19/2019,100,7474 S LANCASTER RD,75227,32.761768,-96.682676,32.6555699,-96.7824861
2930,MADISON HIGH SCHOOL,12/11/2019,100,7940 N CENTRAL EXPW #102,75215,0.0,0.0,32.8599459,-96.7692612
2931,MADISON HIGH SCHOOL,05/31/2019,100,7949 WALNUT HILL LN #110,75215,0.0,0.0,32.8813252,-96.77236750000002
2956,MANSION MAIN BAR,10/09/2019,100,6939 SCYENE RD #A,75219,32.803421,-96.80667700000001,32.7637656,-96.7010335
2960,MAPLE LAWN SCHOOL,05/09/2019,100,848 HARTER RD,75235,32.826305,-96.830466,32.8447512,-96.7070093
2974,MARIA LUNA CENTRAL KITCHEN,04/22/2019,100,2401 MCKINNEY AVE,75215,32.797505,-117.241716,32.7943608,-96.8026512
2975,MARIA MORENO ELEMENTARY,10/09/2019,100,3611 GRAND AVE,75224,32.724173,-96.857078,40.7784548,-74.03522199999999
2988,MARISCOS 2000 #5,01/18/2019,100,8228 MADDOX,75234,32.90963,-96.873581,32.9241691,-96.8672668
3008,MARKET HALL CONCESS AREA,10/14/2019,100,3818 N HAMPTON RD,75207,33.076119,-97.023595,32.7890505,-96.85622149999999
3009,MARKET HALL SNACK SHOP,10/14/2019,100,3818 W CLARENDON DR,75207,33.076119,-97.023595,32.7344839,-96.88374929999999
3016,MARTIN L KING,05/09/2019,100,2927 LOMBARDY LN,75215,32.760329,-96.772402,32.8667775,-96.8756815
3018,MARY BETHUNE ELM SCHOOL,10/22/2019,100,3926 E OVERTON RD,75224,32.726465000000005,-96.908714,32.7237153,-96.76296359999999
3021,MASKARAS MEXICAN GRILL,07/16/2019,100,4787 VISTAWOOD #110,75233,32.705773,-96.85803299999999,32.686093,-96.8259357
3030,MCCAMY ELEM CARROLLTON,02/12/2019,100,9780 WALNUT ST #340,75252,32.991138,-96.860528,32.9216441,-96.71940500000001
3034,MCDONALD'S,10/10/2019,100,14815 COIT RD,752435219,32.908409999999996,-96.70058900000001,32.9517825,-96.7694961
3048,MCDONALD'S IN WALMART,10/10/2019,100,2425 S COCKRELL HILL RD,75240,32.958912,-96.818136,32.7195663,-96.89198909999999
3058,MCDONALDS,09/12/2019,100,3945 MYRTLE ST,75217,32.750725,-96.682965,32.7596869,-96.7593685
3063,MCDONALDS,08/27/2019,100,3766 SAMUELL BLVD,75220,32.865125,-96.901658,32.7926823,-96.7298754
3087,MCDONALDS #4777,03/25/2019,100,10025 ROYAL LN,75202,38.04006,-97.88158,32.8956217,-96.7167056
3097,MEALS ON WHEELS,11/22/2019,100,2275 GUS THOMASSON RD,75247,32.822179,-96.863073,32.8360434,-96.6762586
3105,MEDIEVAL TIMES BAR,10/15/2019,100,3400 SAMUELL BLVD #A,75207,32.800514,-96.823102,32.7926522,-96.7368946
3110,MEDRANO ELEMENTARY SCHOOL,11/04/2019,100,400 N ST PAUL ST STE #105,75219,32.806706,-96.827899,32.7842789,-96.7976334
3113,MEDUSA #2,03/21/2019,100,3211 W NORTHWEST HWY STE #300,75201,32.783159999999995,-96.79482800000001,32.855895,-96.8662097
3115,MEDUSA #4,03/21/2019,100,3214 WINNETKA AVE,75201,32.783159999999995,-96.79482800000001,32.7533704,-96.84028939999999
3116,MEDUSA #5,03/21/2019,100,3215 N FITZHUGH AVE,75201,32.783159999999995,-96.79482800000001,32.816571,-96.7933849
3145,MEXICALI RESTAURANT,11/18/2019,100,12795 MIDWAY RD,75238,32.864406,-96.685829,32.9229541,-96.8386802
3173,MICKLE CHICKEN,10/30/2019,100,8787 S LANCASTER RD,75237,32.662584,-96.873446,32.6421053,-96.78027949999999
3193,MOISE E MOLINA H S,10/25/2019,100,4424 DALLAS FT WORTH TPKE,75211,32.724212,-96.908746,32.7632412,-96.9008999
3216,MOTHERS TRUCKERS,01/26/2019,100,3606 BOULDER DR,75220,32.865887,-96.90440100000001,32.6992444,-96.8742207
3224,MOXIE'S GRILL & BAR (OUTSIDE BAR),10/31/2019,100,1001 ROSS AVE #132,75201,30.456854999999997,-98.10498100000001,32.782624,-96.80470679999999
3225,MOZZARELLA COMPANY,01/23/2019,100,7701 S WESTMORELAND RD,75226,32.785167,-96.780938,32.651823,-96.888954
3277,NATIONS GIFTS #416,12/12/2019,100,1811 S HAMPTON RD,75251,32.922124,-96.772077,32.7258039,-96.8579263
3280,NATURE'S PLATE,07/18/2019,100,14999 PRESTON RD,75243,32.910437,-96.803995,32.8964955,-96.804975
3282,NATURE'S PLATE,01/18/2019,100,14999 PRESTON RD #104,75243,32.910437,-96.803995,32.8964955,-96.804975
3287,NEIMANS EXPRESSO BAR,10/10/2019,100,2530 BUTLER ST,75201,37.375563,-120.723492,32.820018,-96.8330721
3303,NEW CHOICES LEADERSHIP,02/14/2019,100,2900 S LAMAR ST,75280,32.997263000000004,-96.855501,32.7590908,-96.7817962
3315,NINES BAR,02/28/2019,100,7345 GASTON AVE,75226,40.405174,-86.863883,32.8116468,-96.7296222
3316,NINES BAR  - ROOF TOP BAR,02/28/2019,100,735 N WESTMORELAND # #A201,75226,40.405174,-86.863883,32.7802521,-96.7788461
3341,NORTH DALLAS HIGH SCHOOL,10/30/2019,100,8501 S LANCASTER RD,75204,32.810722999999996,-96.79588100000001,32.6441038,-96.78041499999999
3346,NORTHLAKE ELEMENTARY,11/20/2019,100,10207 N CENTRAL EXPW,75238,32.884890999999996,-96.719691,32.8857848,-96.77095729999999
3357,NOVA ACADEMY,05/09/2019,100,6465 E MOCKINGBIRD LN STE #316,75227,32.761807,-96.68738499999999,32.8369141,-96.7503457
3396,OFF THE RECORD,02/26/2019,100,6126 LUTHER LN #B,75226,38.887691,-99.33277700000001,32.8633895,-96.80538659999999
3405,OK CORRAL - BAR 1,01/26/2019,100,11425 GOODNIGHT LN,75220,32.875234000000006,-96.91384599999999,32.8965323,-96.90245019999999
3406,OK CORRAL - BAR 2,01/26/2019,100,11433 GOODNIGHT LN,75220,32.875234000000006,-96.91384599999999,32.8967699,-96.9025126
3407,OK CORRAL - BAR 3,01/26/2019,100,11434 EMERALD ST #108,75220,32.875234000000006,-96.91384599999999,32.8969751,-96.89873419999999
3408,OK CORRAL - BAR 4,01/26/2019,100,1144 N MADISON AVE,75220,32.875234000000006,-96.91384599999999,32.756575,-96.82530349999999
3409,OK CORRAL - BAR 5,01/26/2019,100,11441 JUPITER RD,75220,32.875234000000006,-96.91384599999999,32.8499223,-96.6835316
3423,OMAHA STEAKS,04/10/2019,100,11722 MARSH LN #228,75230,32.896524,-96.803853,32.9083501,-96.85375649999999
3425,ON THE BORDER #1,09/23/2019,100,8625 KING GEORGE DR #245,75205,32.823032,-96.788563,32.8336973,-96.8720357
3431,ONE DALLAS CENTER BAR,01/31/2019,100,9810 N CENTRAL EXPW #600,75201,41.269449,-89.251885,32.881353,-96.76918289999999
3437,ONE MAIN PLACE 3RD FLOOR BANQUET/ PANTRY,12/03/2019,100,1617 HI LINE DR #395,75201,41.024999,-81.430786,32.7952162,-96.8184364
3439,ONE MAIN PLACE EMPLOYEE DINING - LEVEL B1,12/03/2019,100,1618 W COMMERCE ST,75201,41.024999,-81.430786,32.7724344,-96.8467395
3442,ONE MAIN PLACE FLOOR 32 PANTRY,12/03/2019,100,16201 SEAGOVILLE RD #A,75201,41.024999,-81.430786,32.6775932,-96.5785183
3449,ONE MAIN SUN DRY,12/06/2019,100,1625 W MOCKINGBIRD LN STE #315,75202,38.612972,-87.351702,32.8228971,-96.8577974
3452,ONE SETTE,12/31/2019,100,5624 SEARS ST,75204,32.797087,-96.80153299999999,32.8143203,-96.77118759999999
3453,ONE SETTE (BAR),12/31/2019,100,5626 ALPHA RD,75204,32.797087,-96.80153299999999,32.932446,-96.810947
3474,OUR COMMUNITY PANTRY,11/13/2019,100,2351 W NORTHWEST HWY #1103,75215,37.074816999999996,-94.511715,32.861195,-96.8854514
3504,PALETERIA SAN MARCOS,03/25/2019,100,7777 FOREST LN #A074,75220,32.876723,-96.878414,32.9100323,-96.7740402
3520,PANDA EXPRESS,01/14/2019,100,2419 GLADSTONE ST,75248,0.0,0.0,32.7406366,-96.8575899
3535,PAPAWADY STORE - OPEN FOODS,08/21/2019,100,12817 PRESTON RD #105,75238,32.864406,-96.685829,32.9232686,-96.80441379999999
3560,PARKHILL JR HIGH SCHOOL,08/21/2019,100,2560 ROYAL LN #105,75248,32.973219,-96.79169399999999,32.895487,-96.8931626
3561,PARKHILL JR HIGH SCHOOL,08/21/2019,100,2564 ROYAL LN,75248,32.973219,-96.79169399999999,32.8956362,-96.89295159999999
3562,PARKHILL JR HIGH SCHOOL,02/21/2019,100,2570 W RED BIRD LN,75248,32.973219,-96.79169399999999,32.6706753,-96.86064809999999
3571,PAVILLION CAFE,12/19/2019,100,4417 S LANCASTER RD #2285,75235,32.805196,-96.836682,32.6944669,-96.79428589999999
3580,PEABERRY COFFEE,03/08/2019,100,4910 JOSEPH HARDIN DR,75233,32.705645000000004,-96.858378,32.6850264,-96.8980663
3585,PEGASUS CITY BREWERY,01/24/2019,100,4010 JOSEPH HARDIN DR,75207,32.79905,-96.834079,32.6937956,-96.8983178
3604,PERRY'S STEAKHOUSE BAR,06/06/2019,100,3301 FORT WORTH AVE,75201,32.790753,-96.80357099999999,32.7535702,-96.87468249999999
3624,PHYSICIAN'S DINNING,09/05/2019,100,3230 SYLVAN AVE #B,75235,32.8088,-96.83618,32.7812605,-96.835393
3639,PINNACLE PREP,08/21/2019,100,8008 HERB KELLEHER WAY STE# C2174,75232,32.661906,-96.91066500000001,32.8447757,-96.84973389999999
3641,PINNACLE PREP PRIMARY,05/21/2019,100,5315 GREENVILLE AVE #125,75224,32.72157,-96.836712,,
3667,PLATINUM #3053 KITCHEN IN SEAT EAST,02/19/2019,100,509 ELM ST #150,75201,32.790079999999996,-96.811316,32.7799463,-96.80759979999999
3673,PLATINUM #3078 CHEF'S CORNER EAST,02/19/2019,100,511 N AKARD ST #101,75201,32.790079999999996,-96.811316,32.7837585,-96.8008146
