Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
MCDONALDS,Routine,8/27/2019,100,2197,NORTHWEST,,75220,2197 W NORTHWEST HWY,8/1/2019,FY2019,32.8653803,-96.9013593,Cafe,3.6,846
MCDONALDS,Routine,8/14/2019,95,5722,LOVERS,,75209,5722 W LOVERS LN,8/1/2019,FY2019,32.8507695,-96.813949,Cafe,3.7,463
MCDONALDS,Routine,8/22/2019,81,705,JEFFERSON,,75208,705 W JEFFERSON BLVD,8/1/2019,FY2019,32.7434856,-96.8343968,Cafe,3.7,910
MCDONALDS,Routine,8/16/2019,99,9403,GARLAND,,75218,9403 GARLAND RD,8/1/2019,FY2019,32.833152,-96.703687,Cafe,3.4,455
MCDONALDS,Routine,7/18/2019,80,310,KIEST,,75224,310 W KIEST BLVD,7/1/2019,FY2019,32.7048391,-96.8281074,Cafe,3.1,1755
MCDONALDS,Routine,5/2/2019,90,13040,COIT,,75240,13040 COIT RD,5/1/2019,FY2019,32.9257391,-96.7685967,Cafe,3.5,1165
MCDONALDS PARRISH FOODS,Routine,11/18/2019,88,3026,HAMPTON,,75212,3026 N HAMPTON RD,11/1/2019,FY2020,32.7794926,-96.8560546,Cafe,2.9,1384
MEDINA OVEN & BAR,Routine,7/24/2019,86,2304,VICTORY PARK,,75202,2304 VICTORY PARK LN,7/1/2019,FY2019,32.7856109,-96.8093998,Bar,4.7,426
MEI MEI BUFFET,Routine,8/21/2019,80,10455,CENTRAL,123,75231,10455 N CENTRAL EXPW 123,8/1/2019,FY2019,32.889778,-96.771809,Bar,3.8,417
MELIO'S CHAR BAR,Routine,5/20/2019,85,2026,GREENVILLE,,75206,2026 GREENVILLE AVE,5/1/2019,FY2019,32.8146271,-96.7699067,Cafe,4.5,514
MERIT COFFEE,Routine,5/13/2019,96,2639,MAIN,#140,75226,2639 MAIN ST #140,5/1/2019,FY2019,32.7839079,-96.7850011,Bar,4.5,1209
MESO MAYA,Routine,11/12/2019,86,1611,MCKINNEY,,75202,1611 MCKINNEY AVE,11/1/2019,FY2020,32.7877454,-96.8047164,Bar,4.2,3177
METHOD COFFEE,Routine,12/9/2019,90,1623,HALL,#101,75204,1623 N HALL ST #101,12/1/2019,FY2020,32.7951016,-96.7890195,Bar,4.3,288
METROPOLITAN CAFE,Routine,10/18/2018,85,2032,MAIN,,75201,2032 MAIN ST,10/1/2018,FY2019,32.7818921,-96.7927367,Cafe,4.7,138
MEZZE TAPAS RESTAURANT,Routine,12/5/2017,88,5321,MOCKINGBIRD,#110,75206,5321 E MOCKINGBIRD LN #110,12/1/2017,FY2018,32.8382614,-96.7754164,Bar,4.5,834
MI COCINA,Routine,9/18/2019,88,11661,PRESTON,#138,75230,11661 PRESTON RD #138,9/1/2019,FY2019,32.9072576,-96.805502,Bar,4.7,806
MI COCINA,Routine,9/16/2019,84,6332,LA VISTA,,75214,6332 LA VISTA DR,9/1/2019,FY2019,32.81229,-96.7536325,Bar,4.6,766
MI COCINA,Routine,8/7/2019,87,13350,DALLAS,#100,75240,13350 DALLAS PKWY #100,8/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
MICHELADAS RESTAURANT,Routine,7/3/2019,90,2828,WEBB CHAPEL,,75220,2828 WEBB CHAPEL EXT,7/1/2019,FY2019,32.8564651,-96.8705889,Bar,3.9,353
MIMI'S PIZZERIA,Routine,12/16/2019,89,6807,NORTHWEST,,75225,6807 W NORTHWEST HWY,12/1/2019,FY2020,32.8661671,-96.7884155,Bar,4.2,497
MINI MUD,Routine,5/23/2017,90,3625,HALL,#111,75219,3625 N HALL ST #111,5/1/2017,FY2017,32.8088404,-96.8067209,Bar,4.3,118
MONSTER YOGURT,Routine,1/6/2019,93,9540,GARLAND,394,75218,9540 GARLAND RD 394,1/1/2019,FY2019,32.834661,-96.700688,Bar,3.8,285
MOT HAI BA,Routine,9/25/2019,93,6047,LEWIS,,75206,6047 LEWIS ST,9/1/2019,FY2019,32.8123546,-96.7622911,Bar,4.4,286
MOXIE'S GRILL & BAR,Routine,10/31/2019,96,100,CRESCENT,#140,75201,100 CRESCENT CT #140,10/1/2019,FY2020,32.7939118,-96.803308,Bar,4.3,1344
MY FAMILY PIZZA,Routine,12/6/2019,89,1915,SKILLMAN,,75206,1915 SKILLMAN ST,12/1/2019,FY2020,32.8131403,-96.7621422,Bar,4.4,815
MY FIT FOOD,Routine,11/16/2016,88,5960,ROYAL,,75230,5960 ROYAL LN,11/1/2016,FY2017,32.8945071,-96.8044868,Bar,4.3,135
NAGA RESTAURANT,Routine,12/27/2016,89,665,HIGH MARKET,,75202,665 HIGH MARKET,12/1/2016,FY2017,32.7864848,-96.8089893,Bar,4.4,321
NEIMAN MARCUS FRESH MARKET,Routine,11/16/2016,100,1605,COMMERCE,,75201,1605 COMMERCE ST,11/1/2016,FY2017,32.7804886,-96.797497,Cafe,4.7,110
NEO PIZZA NAPOLETANA,Routine,7/24/2019,82,2340,VICTORY PARK,,75201,2340 VICTORY PARK LN,7/1/2019,FY2019,32.7862119,-96.8090743,Bar,4.4,321
NEON COWBOYS,Routine,4/30/2019,85,10420,C F HAWN,,75217,10420 C F HAWN FRWY,4/1/2019,FY2019,32.6976669,-96.6459817,Bar,4.2,184
NESTLE TOLLHOUSE CAFE,Routine,2/11/2019,96,13350,DALLAS,#2655,75082,13350 DALLAS PKWY #2655,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
NESTLE TOLLHOUSE CAFE BY CHIP -KIOSK,Routine,2/11/2019,94,13350,DALLAS,#2255,75240,13350 DALLAS PKWY #2255,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
NEUHAUS,Routine,10/30/2019,94,5959,ROYAL,#626,75230,5959 ROYAL LN #626,10/1/2019,FY2020,32.8953915,-96.8056903,Cafe,4.2,125
NICK & RYE,Routine,5/24/2019,83,2523,MCKINNEY,#A,75201,2523 MCKINNEY AVE #A,5/1/2019,FY2019,32.796081,-96.8021326,Bar,4.2,354
NICK & SAM'S GRILL,Routine,9/12/2019,85,8111,PRESTON,#150,75225,8111 PRESTON RD #150,9/1/2019,FY2019,32.8609365,-96.8048114,Bar,4.3,204
NIKKEI,Routine,3/25/2017,94,2404,CEDAR SPRINGS,#400,75201,2404 CEDAR SPRINGS RD #400,3/1/2017,FY2017,32.7964413,-96.8048335,Bar,4.3,364
NINES BAR,Routine,2/28/2019,100,2911,MAIN,,75226,2911 MAIN ST,2/1/2019,FY2019,32.7845059,-96.7816858,Bar,4.4,856
NOBILITEA,Routine,2/20/2019,93,13350,DALLAS,#2615,75240,13350 DALLAS PKWY #2615,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
NODDING DONKEY,Routine,7/22/2019,85,2900,THOMAS,,75204,2900 THOMAS AVE,7/1/2019,FY2019,32.796584,-96.7968287,Bar,4.3,239
NORI HANDROLL BAR,Routine,7/17/2019,95,2814,ELM,,75226,2814 ELM ST,7/1/2019,FY2019,32.7845293,-96.7829254,Bar,4.6,628
NORMA'S CAFE,Routine,1/8/2020,80,9100,CENTRAL,#151,75231,9100 N CENTRAL EXPW #151,1/1/2020,FY2020,32.8725818,-96.768785,Cafe,4.5,1296
NORMA'S CAFE,Routine,7/3/2019,88,17721,DALLAS,#130,75287,17721 DALLAS PKWY #130,7/1/2019,FY2019,32.9909067,-96.830829,Cafe,4.4,2038
NOTHING BUNDT CAKES,Routine,11/26/2018,94,10720,PRESTON,1101B,75230,10720 PRESTON RD 1101B,11/1/2018,FY2019,32.8943228,-96.8035913,Cafe,3.6,233
NOVA,Routine,9/22/2019,92,1417,DAVIS,,75208,1417 W DAVIS ST,9/1/2019,FY2019,32.7497806,-96.8448782,Bar,4.5,491
OAK,Routine,9/28/2019,94,1628,OAK LAWN,#A,75207,1628 OAK LAWN AVE #A,9/1/2019,FY2019,32.7970641,-96.8191461,Bar,4.2,548
OAK CLIFF SOCIAL CLUB,Routine,6/18/2019,89,238,DAVIS,,75208,238 W DAVIS ST,6/1/2019,FY2019,32.7492729,-96.8261414,Bar,4.5,589
ODDFELLOW'S,Routine,5/23/2019,80,316,SEVENTH,,75208,316 W SEVENTH ST,5/1/2019,FY2019,32.7487723,-96.8274156,Cafe,4.3,1218
OJEDA'S,Routine,8/14/2019,89,4617,MAPLE,,75219,4617 MAPLE AVE,8/1/2019,FY2019,32.812894,-96.8249191,Bar,4.4,2546
OJOS LOCOS,Routine,4/23/2019,80,10230,TECHNOLOGY,E,75220,10230 TECHNOLOGY BLVD E,4/1/2019,FY2019,32.860907,-96.894124,Bar,4.1,1784
OLD CHICAGO RESTAURANT,Routine,8/30/2019,84,5319,MOCKINGBIRD,#100,75206,5319 E MOCKINGBIRD LN STE #100,8/1/2019,FY2019,32.8384272,-96.7763785,Bar,4.5,195
OLD MILL INN,Routine,9/17/2019,100,3611,GRAND,,75210,3611 GRAND AVE,9/1/2019,FY2019,32.779523,-96.763177,Bar,4,131
OLD WARSAW RESTAURANT,Routine,9/30/2019,80,2512,MAPLE,,75201,2512 MAPLE AVE,9/1/2019,FY2019,32.7952769,-96.8035713,Bar,4,303
OLIVELLAS LAKEWOOD,Routine,9/11/2019,88,6465,MOCKINGBIRD,525,75214,6465 E MOCKINGBIRD LN 525,9/1/2019,FY2019,32.8369704,-96.7511853,Bar,4.2,164
ONI RAMEN,Routine,8/27/2019,96,2822,ELM,,75226,2822 ELM ST,8/1/2019,FY2019,32.7846602,-96.7827363,Cafe,4.2,1401
OPEN MARKET,Routine,7/23/2019,97,400,OLIVE,FL 2,75201,400 N OLIVE ST FL 2,7/1/2019,FY2019,32.7851279,-96.7949555,Bar,3.7,142
OUTBACK STEAKHOUSE,Routine,12/12/2019,94,9049,VANTAGE POINT,,75243,9049 VANTAGE POINT,12/1/2019,FY2020,32.917476,-96.7463466,Bar,4.2,1009
PACIUGO,Routine,2/8/2019,89,13350,DALLAS,#1485,75240,13350 DALLAS PKWY #1485,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
PAKPAO,Routine,11/4/2019,72,1628,OAK LAWN,,75207,1628 OAK LAWN AVE,11/1/2019,FY2020,32.7970641,-96.8191461,Bar,4.2,548
PALAPAS SEAFOOD BAR,Routine,10/16/2019,80,1418,GREENVILLE,,75206,1418 GREENVILLE AVE,10/1/2019,FY2020,32.8081837,-96.769987,Bar,4.3,488
PARKER BARROWS,Routine,6/13/2019,80,338,DAVIS,,75208,338 W DAVIS ST,6/1/2019,FY2019,32.7493244,-96.8281679,Bar,4.4,2773
PENNE POMODORO,Routine,12/23/2019,90,11661,PRESTON,#143,75230,11661 PRESTON RD #143,12/1/2019,FY2020,32.9072277,-96.8056485,Bar,4.7,806
PERA,Follow-up,9/22/2017,66,2405,HENDERSON,,75206,2405 N HENDERSON AVE,9/1/2017,FY2017,32.8150111,-96.7788729,Bar,4.4,332
PERA WINE & TAPAS,Routine,10/25/2019,87,6006,BELTLINE,,75254,6006 BELTLINE RD,10/1/2019,FY2020,32.9534067,-96.8029071,Bar,4.2,656
PERRY STEAKHOUSE & GRILL,Routine,6/6/2019,86,2000,MCKINNEY,100,75201,2000 MCKINNEY AVE 100,6/1/2019,FY2019,32.7911119,-96.8031977,Bar,4.6,1513
PHD,Routine,7/30/2019,89,1300,DAVIS,,75208,1300 W DAVIS ST,7/1/2019,FY2019,32.7492167,-96.8431617,Bar,4.4,331
PHO ANAH,Routine,1/13/2020,83,10675,NORTHWEST,#1635,75238,10675 E NORTHWEST HWY #1635,1/1/2020,FY2020,32.8643089,-96.7011397,Cafe,3.4,543
PICOLE POPS,Routine,11/25/2019,98,2656,MAIN,#110,75226,2656 MAIN ST #110,11/1/2019,FY2020,32.783601,-96.784247,Bar,4.6,558
PICOLE POPS,Routine,12/10/2018,95,415,DAVIS,,75208,415 W DAVIS ST,12/1/2018,FY2019,32.7496248,-96.8286748,Bar,4.4,2773
PIE TAP,Routine,12/18/2019,80,2708,HENDERSON,#100,75206,2708 N HENDERSON AVE #100,12/1/2019,FY2020,32.8178587,-96.7815955,Bar,4.5,645
PIZZA LOUNGE,Routine,1/24/2019,92,841,EXPOSITION,,75226,841 EXPOSITION AVE,1/1/2019,FY2019,32.7820139,-96.7666027,Bar,4.3,724
PIZZERIA TESTA,Routine,7/18/2019,92,3525,GREENVILLE,,75206,3525 GREENVILLE AVE,7/1/2019,FY2019,32.8305988,-96.7704397,Bar,4.3,446
POKE BOP,Routine,9/10/2019,88,4103,LEMMON,,75219,4103 LEMMON AVE,9/1/2019,FY2019,32.8148363,-96.8096035,Cafe,4.6,272
POKE-O,Routine,10/25/2018,92,5321,MOCKINGBIRD,#130,75206,5321 E MOCKINGBIRD LN #130,10/1/2018,FY2019,32.8382614,-96.7754164,Bar,4.5,834
POP BAR,Routine,12/11/2019,97,2420,VICTORY PARK,,75219,2420 VICTORY PARK LN,12/1/2019,FY2020,32.7882157,-96.8092794,Bar,4,103
POTBELLY SANDWICH WORKS,Routine,2/13/2019,98,13350,DALLAS,#600,75240,13350 DALLAS PKWY #600,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
POUR HOUSE,Routine,12/6/2019,83,1919,SKILLMAN,,75206,1919 SKILLMAN ST,12/1/2019,FY2020,32.8131407,-96.7621551,Bar,4.4,815
PRIVADO,Routine,6/28/2019,88,723,PEARL,,75201,723 N PEARL ST,6/1/2019,FY2019,32.7867247,-96.7966055,Bar,4.1,417
PUNK SOCIETY,Routine,11/16/2019,92,2723,ELM,,75226,2723 ELM ST,11/1/2019,FY2020,32.7848302,-96.7838094,Bar,4.6,7
PURE MILK & HONEY,Routine,9/30/2019,98,5321,MOCKINGBIRD,#135,75206,5321 E MOCKINGBIRD LN #135,9/1/2019,FY2019,32.8382614,-96.7754164,Bar,4.5,834
QUESA,Routine,12/20/2018,72,3900,CEDAR SPRINGS,,75219,3900 CEDAR SPRINGS RD,12/1/2018,FY2019,32.810331,-96.81002,Cafe,4.2,1046
QUILL LOUNGE,Routine,5/16/2017,88,1628,OAK LAWN,#100,75207,1628 OAK LAWN #100,5/1/2017,FY2017,32.7970641,-96.8191461,Bar,4.2,548
RAFA'S CAFE MEXICANO,Routine,7/11/2019,85,5617,LOVERS,,75209,5617 W LOVERS LN,7/1/2019,FY2019,32.8515509,-96.8169502,Bar,4.4,355
RAFAIN BRAZILIAN CHURRASCARIA,Routine,4/24/2019,93,18010,DALLAS,,75240,18010 N DALLAS PKWY,4/1/2019,FY2019,32.9954598,-96.8284424,Bar,4.8,200
RAISING CANE'S,Routine,8/26/2019,95,13350,DALLAS,#3680,75240,13350 DALLAS PKWY #3680,8/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
RAVENNA,Routine,12/13/2019,90,115,FIELD,,75202,115 S FIELD ST,12/1/2019,FY2020,32.7800864,-96.801074,Bar,4.3,423
RAVENNA,Routine,5/21/2018,94,1301,MAIN,#100,75202,1301 MAIN ST STE #100,5/1/2018,FY2018,32.7804455,-96.8008252,Bar,4.3,423
RBC,Routine,9/4/2019,100,2617,COMMERCE,,75226,2617 COMMERCE ST,9/1/2019,FY2019,32.7829378,-96.7855662,Bar,4.6,2477
REGENERATION ARCADE BAR AND PIZZERIA,Routine,11/15/2019,98,17721,DALLAS,#140,75287,17721 DALLAS PKWY #140,11/1/2019,FY2020,32.9909067,-96.830829,Cafe,4.4,2038
REIKYU,Routine,3/7/2017,82,5321,MOCKINGBIRD,#200,75206,5321 E MOCKINGBIRD LN #200,3/1/2017,FY2017,32.8382614,-96.7754164,Bar,4.5,834
RELISH,Routine,8/29/2019,95,2000,WOODALL RODGERS,#200,75201,2000 WOODALL RODGERS FRWY #200,8/1/2019,FY2019,32.7895912,-96.8017349,Bar,4.1,593
RENFIELD'S CORNER,Routine,1/28/2019,95,2603,ROUTH,#A,75201,2603 ROUTH ST #A,1/1/2019,FY2019,32.7964044,-96.8022372,Bar,4.2,354
RESIDENT TAQUERIA,Routine,7/25/2019,90,9661,AUDELIA,#112,75238,9661 AUDELIA RD #112,7/1/2019,FY2019,32.8783699,-96.7187537,Bar,4.4,522
RESTAURANTE EL SALVADORENO,Routine,12/26/2019,84,8414,DENTON,,75235,8414 DENTON DR,12/1/2019,FY2020,32.8416383,-96.8579469,Bar,4.2,98
RESTRO BISTRO RESTAURANT,Routine,10/18/2017,84,3011,GULDEN,#104,75212,3011 GULDEN LN #104,10/1/2017,FY2018,32.7793722,-96.8289924,Bar,4.2,455
REVOLVER TACO,Routine,8/8/2019,87,2701,MAIN,#120,75226,2701 MAIN ST #120,8/1/2019,FY2019,32.7840448,-96.7840816,Bar,4.6,558
RJ MEXICAN CUISINE,Routine,7/25/2019,86,1701,MARKET,#102,75202,1701 N MARKET ST #102,7/1/2019,FY2019,32.781616,-96.8070186,Bar,4.2,1028
ROBBIES PLACE,Routine,2/27/2019,100,1200,RIVERFRONT,,75207,1200 S RIVERFRONT BLVD,2/1/2019,FY2019,32.7645813,-96.8016515,Bar,4.5,83
ROCKY MOUNTAIN CHOCOLATE FACTORY,Routine,8/15/2018,89,13350,DALLAS,#2445,75240,13350 N DALLAS PKWY #2445,8/1/2018,FY2018,32.9290218,-96.8200386,Bar,4.5,651
RODEO GOAT,Routine,8/14/2019,95,1926,MARKET CENTER,,75207,1926 N MARKET CENTER BLVD,8/1/2019,FY2019,32.7971947,-96.8239103,Bar,4.6,4505
ROOTS ON TAP,Routine,1/11/2017,92,3613,PARRY,#A,75226,3613 PARRY AVE #A,1/1/2017,FY2017,32.7818426,-96.7666272,Bar,4.3,724
ROOTS PRESSED JUICES,Routine,9/11/2019,88,4023,OAK LAWN,,75219,4023 OAK LAWN AVE,9/1/2019,FY2019,32.8179976,-96.8028656,Bar,4.7,970
RORO'S BAKING COMPANY,Routine,11/20/2018,96,2201,TUCKER,#107,75214,2201 TUCKER ST #107,11/1/2018,FY2019,32.8119545,-96.7320518,Bar,4.5,136
ROSS & HALL BEER GARDEN AND KITCHEN,Routine,12/9/2019,84,3300,ROSS,,75204,3300 ROSS AVE,12/1/2019,FY2020,32.7953264,-96.7888564,Bar,4.3,288
ROYAL BLUE GROCERY,Routine,10/17/2019,85,1800,MAIN,#124,75201,1800 MAIN ST #124,10/1/2019,FY2020,32.7810331,-96.7960457,Bar,4.1,1040
ROYAL CHINA,Routine,12/17/2019,80,6025,ROYAL,#201,75230,6025 ROYAL LN #201,12/1/2019,FY2020,32.8960672,-96.8021328,Bar,4.4,885
RUNIS BAR,Routine,5/13/2019,87,2653,COMMERCE,,75226,2653 COMMERCE ST,5/1/2019,FY2019,32.7832349,-96.7841387,Bar,4.5,1385
SAINT ANN CAFE,Routine,11/18/2019,92,2514,HARRY HINES,,75201,2514 HARRY HINES BLVD,11/1/2019,FY2020,32.7914243,-96.8060372,Bar,4.3,806
SAK HUU,Routine,8/7/2019,71,4801,BRYAN,#100,75204,4801 BRYAN ST #100,8/1/2019,FY2019,32.8037271,-96.7743805,Cafe,4.1,99
SALON POMPEO,Routine,6/6/2019,97,5330,MOCKINGBIRD,#190,75206,5330 E MOCKINGBIRD LN #190,6/1/2019,FY2019,32.8360659,-96.7777995,Bar,4.4,648
SALUM RESTAURANT,Routine,8/5/2019,95,4152,COLE,103,75204,4152 COLE AVE 103,8/1/2019,FY2019,32.8161232,-96.7921513,Bar,4.8,143
SAMUELL GRAND PARK POOL-CONCESSION STAND,Routine,6/29/2019,100,3003,SAMUELL,,75201,3003 SAMUELL BLVD,6/1/2019,FY2019,32.7929573,-96.7442936,Bar,4.3,8
SAN FRANCISCO ROSE,Follow-up,7/21/2017,81,3024,GREENVILLE,,75206,3024 GREENVILLE AVE,7/1/2017,FY2017,32.825894,-96.769859,Bar,4.7,486
SAND BAR CATINA,Routine,9/30/2019,89,317,SECOND,,75226,317 S SECOND AVE,9/1/2019,FY2019,32.783437,-96.7742902,Bar,4.5,552
SANDWICH HAG,Routine,11/21/2019,97,1902,LAMAR,,75215,1902 S LAMAR ST,11/1/2019,FY2020,32.7656047,-96.7906623,Cafe,4.7,208
SARAH CAFE,Routine,11/13/2019,87,12225,GREENVILLE,#150,75243,12225 GREENVILLE AVE #150,11/1/2019,FY2020,32.9145922,-96.7458833,Cafe,4.4,9
SAVOR,Follow-up,9/25/2019,94,2000,WOODALL RODGERS,#100,75201,2000 WOODALL RODGERS FRWY #100,9/1/2019,FY2019,32.7895912,-96.8017349,Bar,4.1,593
SAZON TEX-MEX Y MAS,Routine,10/9/2019,86,12817,PRESTON,#115,75230,12817 PRESTON RD #115,10/1/2019,FY2020,32.9233127,-96.8048114,Bar,4.1,581
SBARRO,Routine,2/4/2019,80,13350,DALLAS,#3670,75240,13350 DALLAS PKWY #3670,2/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
SEAFOOD CONNECTION,Routine,5/21/2019,97,1427,ILLINOIS,,75216,1427 E ILLINOIS AVE,5/1/2019,FY2019,32.720439,-96.804058,Cafe,3.1,1085
SENOR BEAN,Routine,10/8/2019,84,708,OLIVE,,75201,708 N OLIVE ST,10/1/2019,FY2020,32.7866563,-96.7966836,Bar,4.1,417
SERIOUS PIZZA.,Routine,12/11/2019,95,2807,ELM,,75226,2807 ELM ST,12/1/2019,FY2020,32.7849829,-96.7833505,Cafe,4.2,1401
SEVY'S GRILL,Routine,9/17/2019,89,8201,PRESTON,#100,75225,8201 PRESTON RD #100,9/1/2019,FY2019,32.8628006,-96.8049239,Bar,4.6,238
SHADY'S,Routine,7/25/2019,94,9661,AUDELIA,#110,75238,9661 AUDELIA RD 109- #110,7/1/2019,FY2019,32.8783699,-96.7187537,Bar,4.4,522
SHAKE SHACK,Routine,10/7/2019,90,6025,ROYAL,#305,75230,6025 ROYAL LN #305,10/1/2019,FY2020,32.8961547,-96.8022961,Bar,4.4,885
SHARETEA,Routine,9/19/2019,94,13350,DALLAS,#410,75240,13350 N DALLAS PKWY #410,9/1/2019,FY2019,32.9290218,-96.8200386,Bar,4.5,651
SHELL EMPIRE,Routine,3/13/2019,99,8390,STEMMONS,#B,75247,8390 N STEMMONS FRWY #B,3/1/2019,FY2019,32.8263058,-96.8713678,Cafe,3.5,797
SHELL SHACK,Follow-up,10/9/2019,80,2326,HENDERSON,,75206,2326 N HENDERSON AVE,10/1/2019,FY2020,32.8148881,-96.778114,Bar,4.1,2018
SHIP'S LOUNGE,Routine,10/7/2019,89,1613,GREENVILLE,,75206,1613 GREENVILLE AVE,10/1/2019,FY2020,32.8103911,-96.7704576,Cafe,4.2,494
SHOOTERS IN VICTORY,Routine,9/26/2019,84,3030,OLIVE,#105,75204,3030 OLIVE ST #105,9/1/2019,FY2019,32.7896726,-96.8093052,Bar,3.9,168
SHOP N GO,Routine,12/3/2019,94,4900,BRYAN,,75206,4900 BRYAN ST,12/1/2019,FY2020,32.8036236,-96.773055,Bar,4.3,265
SHORT STOP,Routine,9/23/2019,89,6025,ROYAL,#101,75220,6025 ROYAL LN #101,9/1/2019,FY2019,32.896382,-96.8035976,Bar,4.4,239
SI TAPAS RESTAURANT BAR,Routine,7/22/2019,81,2207,ALLEN,,75204,2207 ALLEN ST,7/1/2019,FY2019,32.7960182,-96.796745,Bar,4.3,521
SIDE BAR MAIN,Routine,9/9/2019,97,2626,HOWELL,#100,75204,2626 HOWELL ST #100,9/1/2019,FY2019,32.7985289,-96.8026993,Bar,4.4,676
SIFT & POUR,Routine,5/6/2019,93,2401,VICTORY PARK,#160,75219,2401 VICTORY PARK LN #160,5/1/2019,FY2019,32.788122,-96.810011,Bar,4.1,124
SMOKE,Routine,11/9/2018,82,901,FORT WORTH,,75208,901 FORT WORTH AVE,11/1/2018,FY2019,32.7696023,-96.8367339,Bar,4.2,34
SNAP KITCHEN,Routine,10/31/2019,98,6025,ROYAL,#320,75230,6025 ROYAL LN #320,10/1/2019,FY2020,32.8961547,-96.8022961,Bar,4.4,885
SNAP KITCHEN,Routine,7/25/2017,97,5627,LOVERS,,75209,5627 W LOVERS LN,7/1/2017,FY2017,32.8515692,-96.8166153,Bar,4.4,355
SOCIETY BAKERY,Routine,11/6/2019,84,3610,GREENVILLE,,75206,3610 GREENVILLE AVE,11/1/2019,FY2020,32.8318628,-96.7698374,Bar,4.2,432
